수집시각,순위,제목,저자,출판사,링크,이전순위,순위변동
2026-04-02 14:15,1,프로젝트 헤일메리,앤디 위어/강동혁,알에이치코리아(RHK),https://www.yes24.com/product/goods/101375755,3,↑2
2026-04-02 14:15,2,ELLE 엘르 F형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/182513493,1,↓1
2026-04-02 14:15,3,ELLE 엘르 E형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/184452994,2,↓1
2026-04-02 14:15,4,반딧불이의 혼례 10,타치바나 오레코글그림/유유리,서울미디어코믹스(서울문화사),https://www.yes24.com/product/goods/184472668,,NEW
2026-04-02 14:15,5,무례한 세상에서 나를 지키는 법,발타자르 그라시안/하와이 대택편,논픽션,https://www.yes24.com/product/goods/182422429,9,↑4
2026-04-02 14:15,6,인생을 위한 최소한의 생각,"신영준,고영성",상상스퀘어,https://www.yes24.com/product/goods/177044720,7,↑1
2026-04-02 14:15,7,사랑이 있으니 살아집디다,"유시민,김세라/4.9통일평화재단편",도서출판은빛,https://www.yes24.com/product/goods/183023638,5,↓2
2026-04-02 14:15,8,인생에 한 번은 읽어야 할 사서삼경,최상용,일상과이상,https://www.yes24.com/product/goods/183757476,,NEW
2026-04-02 14:15,9,ELLE 엘르 D형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/184452992,8,↓1
2026-04-02 14:15,10,ELLE 엘르 A형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/184452984,4,↓6
2026-04-02 14:15,11,완벽한 원시인,자청,필로틱,https://www.yes24.com/product/goods/180137091,13,↑2
2026-04-02 14:15,12,돈의 방정식,모건 하우절/박영준,서삼독,https://www.yes24.com/product/goods/172506508,,NEW
2026-04-02 14:15,13,ELLE 엘르 C형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/184452989,12,↓1
2026-04-02 14:15,14,ELLE 엘르 B형 (여성월간) : 4월 스페셜 에디션 [2026],허스트중앙 편집부,HEARST JOONGANG,https://www.yes24.com/product/goods/184452986,6,↓8
2026-04-02 14:15,15,화학자K의 추리 과학실,이광렬,블랙피쉬,https://www.yes24.com/product/goods/183659024,56,↑41
2026-04-02 14:15,16,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,ETS,YBM(와이비엠),https://www.yes24.com/product/goods/168776448,29,↑13
